sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,health,absences,quiz,assignment,exam1,exam2,final
0,17,0,0,0,2,4,2,2,2,1,1,2,0,0,0,0,1,1,1,1,4,3,5,0,1,1,4,1,2
1,17,0,1,0,4,4,2,0,0,0,1,1,0,0,0,0,0,1,1,1,5,2,5,4,3,3,3,0,3
1,16,1,0,0,3,3,0,4,0,1,3,1,0,0,1,1,1,1,1,1,3,3,3,8,1,1,1,0,1
0,17,0,1,0,4,4,2,0,0,0,2,1,1,0,1,0,0,1,1,1,4,2,2,24,4,4,0,4,4
0,16,0,0,0,4,4,0,0,1,0,1,2,0,0,1,1,0,1,1,1,4,5,3,0,0,0,2,3,3
0,16,0,1,0,4,3,1,4,0,0,1,2,0,0,1,0,1,1,1,1,4,3,2,2,0,0,2,3,1
0,16,0,1,0,2,3,4,4,1,0,1,2,0,1,1,1,1,1,1,0,4,4,4,6,2,2,4,1,0
0,17,0,1,0,1,1,4,4,2,0,1,2,0,0,1,1,0,0,1,0,4,4,1,4,3,3,1,2,2
0,17,1,1,0,2,2,4,4,1,0,1,1,0,0,1,0,0,1,1,1,5,3,3,18,1,1,0,0,2
0,16,1,1,0,2,2,2,2,1,0,2,4,0,0,1,1,1,0,1,1,5,3,5,6,4,4,0,4,4
0,17,0,1,0,3,4,3,2,0,0,1,3,1,0,1,1,0,1,1,1,4,4,5,28,3,3,4,0,1
0,16,0,1,1,3,1,2,4,2,0,1,2,3,0,1,1,0,1,1,1,2,3,4,5,1,1,3,2,3
0,16,0,1,0,4,3,0,4,3,0,1,2,0,0,0,1,1,1,1,1,1,3,1,10,0,0,3,3,1
0,16,0,1,0,1,1,3,4,0,0,2,1,0,0,1,1,0,1,1,0,4,3,5,6,2,2,1,3,4
0,17,1,1,0,4,3,0,4,1,0,2,3,0,0,1,1,1,1,1,1,4,4,4,6,2,2,2,1,0
0,19,0,1,0,3,3,4,4,1,2,1,4,0,0,1,1,1,1,1,1,4,3,3,10,4,4,0,1,0
1,17,0,0,0,4,4,2,4,0,0,1,2,0,0,1,1,0,1,1,1,5,3,3,13,1,1,4,0,2
0,16,0,1,1,2,2,4,4,1,0,1,2,0,1,1,1,0,1,1,1,3,3,4,0,0,0,0,1,3
1,18,0,1,0,2,2,2,4,0,0,1,2,1,0,1,1,1,1,1,1,4,4,5,15,0,0,2,2,1
0,17,1,0,0,4,4,2,4,3,0,1,1,0,0,1,1,0,1,1,0,5,2,3,12,4,4,3,1,4
0,17,0,0,0,3,2,4,4,1,0,2,2,0,0,0,1,0,1,1,1,4,4,1,2,3,3,3,2,3
0,17,0,1,0,4,3,4,4,1,0,1,2,2,0,0,1,0,1,1,1,3,4,1,22,3,3,1,3,1
1,18,0,0,0,3,3,2,1,0,1,1,2,1,0,1,1,0,1,1,1,3,2,4,13,1,1,1,1,0
0,17,0,1,0,2,3,3,4,0,1,2,1,0,0,1,1,0,1,1,0,3,3,3,3,2,2,0,3,2
0,17,0,1,0,2,2,3,3,2,0,1,3,0,0,1,1,1,1,1,1,4,3,4,4,0,0,1,1,2
0,17,1,1,0,2,1,3,2,1,0,2,2,0,0,1,0,1,1,1,1,4,2,5,2,4,4,2,4,4
0,17,0,1,0,1,1,3,4,1,0,1,3,1,0,1,0,1,1,1,0,4,3,5,0,0,0,1,0,1
0,16,0,1,0,2,3,2,0,3,0,1,2,0,1,0,0,0,1,1,1,2,3,3,2,2,2,2,0,0
1,18,0,1,0,2,2,4,4,0,0,2,2,0,0,1,1,0,1,1,1,3,3,4,0,3,3,3,2,0
0,16,0,1,0,4,4,0,2,0,0,1,3,0,0,1,0,1,0,1,1,5,3,5,0,3,3,1,3,4
0,18,1,1,0,3,1,4,4,1,0,1,2,1,0,0,0,1,1,1,1,5,3,4,16,1,1,3,1,3
0,17,0,1,0,3,2,4,4,2,0,1,2,0,0,0,0,1,0,1,1,5,3,3,10,1,1,1,4,3
1,17,0,0,0,2,3,2,2,1,1,1,2,0,0,1,1,0,0,1,1,5,3,3,2,0,0,4,3,1
1,18,0,0,0,2,1,3,4,2,0,4,2,0,1,1,1,1,1,1,1,4,3,3,14,0,0,0,1,2
0,17,0,1,1,2,1,4,4,2,0,2,3,0,0,0,0,1,1,1,1,3,2,3,10,4,4,0,0,0
0,17,0,0,0,4,3,1,4,1,1,1,2,0,0,0,0,1,1,1,1,3,2,3,14,4,4,2,2,4
1,17,1,1,0,2,2,4,4,2,1,2,2,0,0,1,1,1,1,1,1,4,5,1,4,2,2,3,2,0
1,17,0,1,0,4,4,0,0,1,0,1,2,0,1,1,0,1,1,1,1,4,5,2,14,3,3,1,4,2
1,16,0,1,0,4,4,1,4,1,1,1,2,0,0,1,1,1,1,1,1,4,2,1,2,2,2,4,1,3
1,16,0,0,0,1,1,4,4,0,0,2,2,0,0,1,1,0,1,1,1,3,4,5,18,0,0,3,0,3
1,16,0,1,0,3,2,3,4,1,0,2,3,0,0,0,0,1,1,1,1,5,3,2,10,2,2,1,0,1
1,17,0,0,0,2,2,4,4,0,1,1,2,0,0,0,1,1,0,1,1,4,4,4,4,3,3,0,4,1
0,16,0,1,0,2,1,4,4,0,0,1,1,0,0,0,0,0,1,1,1,4,5,5,20,3,3,2,3,0
0,17,1,1,0,2,1,3,2,2,0,3,2,0,0,0,0,1,1,1,0,2,1,3,2,1,1,2,3,1
1,18,0,1,0,2,2,4,2,1,1,1,2,1,0,0,0,0,1,0,1,5,5,2,0,1,1,4,1,2
1,17,0,0,0,4,3,1,4,2,0,2,2,0,0,0,0,1,1,1,1,2,5,5,14,0,0,1,2,1
1,17,1,0,1,4,4,0,4,2,0,2,2,0,0,1,1,0,1,1,1,3,3,4,2,1,1,0,0,2
1,16,0,0,0,4,3,0,4,2,0,1,1,0,0,0,0,1,0,1,1,5,4,3,0,2,2,0,4,3
1,16,0,1,0,4,4,2,2,2,0,1,1,0,0,0,0,1,1,1,1,5,3,5,0,1,1,4,0,1
0,18,0,1,0,2,1,4,4,2,2,2,3,0,0,1,1,0,0,1,1,4,4,3,0,2,2,3,2,3
1,16,0,1,0,2,1,4,4,2,0,3,1,0,0,0,0,0,1,1,1,4,3,4,6,3,3,3,3,1
1,17,0,1,0,2,3,4,4,2,1,2,1,0,0,0,0,0,1,1,1,5,2,2,4,1,1,1,3,4
1,22,0,1,0,3,1,2,2,3,0,1,1,3,0,0,0,0,0,0,1,5,4,1,16,3,3,2,1,0
1,18,1,0,0,3,3,4,2,2,0,1,2,1,0,1,0,0,1,1,1,4,3,5,8,1,1,0,1,0
1,16,0,1,0,0,2,4,4,3,0,1,1,0,0,0,1,0,0,1,1,4,3,5,0,4,4,4,0,2
1,18,0,1,0,3,2,2,4,2,0,2,1,1,0,0,0,0,1,0,1,4,4,5,0,0,0,0,1,3
1,16,0,1,0,3,3,3,4,1,2,3,2,0,1,1,0,0,0,1,1,5,3,2,6,0,0,2,2,1
1,18,0,1,0,2,1,2,2,3,0,1,1,1,0,0,0,0,0,0,1,3,2,5,4,2,2,3,1,4
1,16,1,1,0,2,1,4,4,2,0,2,1,0,0,0,0,1,0,1,0,3,3,3,0,3,3,3,2,3
1,17,1,1,0,2,1,4,4,2,0,1,1,0,0,0,0,0,0,1,1,4,4,5,0,1,1,1,3,1
1,17,0,0,0,1,1,1,4,2,0,2,1,1,0,1,0,1,1,1,1,4,4,5,2,4,4,1,1,0
0,17,0,0,0,4,2,0,2,1,0,1,4,0,0,1,1,1,1,1,1,4,2,4,6,3,3,0,3,2
1,19,0,0,1,4,3,2,3,1,0,1,2,0,0,1,0,0,1,1,1,4,3,1,12,1,1,1,1,2
1,18,0,1,0,2,1,4,4,0,0,1,2,0,0,0,0,1,1,1,1,5,2,4,8,0,0,2,4,4
0,17,0,0,0,2,2,2,2,2,1,1,4,0,0,0,1,1,1,1,1,3,4,2,0,2,2,1,0,1
0,18,0,1,0,4,3,2,4,0,1,1,2,0,0,1,1,0,1,1,1,3,1,2,21,2,2,2,0,0
1,18,0,1,0,4,3,0,4,2,0,1,2,0,0,1,1,0,0,1,1,4,3,3,2,4,4,3,2,0
1,18,1,1,0,3,2,4,4,2,0,1,3,0,0,0,0,1,0,1,0,5,3,3,1,1,1,1,3,4
0,17,0,1,0,3,3,4,4,0,0,1,3,0,0,0,0,1,0,1,0,3,2,4,4,0,0,3,1,3
0,18,0,1,0,2,2,3,2,0,0,1,3,0,0,1,1,1,1,1,1,4,3,3,0,0,0,1,4,3
1,18,1,0,1,3,4,4,4,1,0,2,2,0,0,1,1,1,1,1,1,4,2,1,13,4,4,4,3,1
1,17,0,1,0,3,1,2,4,3,0,1,2,0,0,0,1,1,1,1,1,5,4,5,2,3,3,0,1,2
0,18,1,1,0,4,4,0,4,1,0,2,2,0,0,0,1,1,1,1,1,4,3,4,8,3,3,0,1,0
1,18,0,1,0,4,2,1,4,1,1,1,2,0,0,1,1,1,1,1,1,5,4,5,10,1,1,2,1,4
0,18,1,1,0,2,1,4,4,1,0,2,2,0,0,1,0,0,1,0,1,4,3,3,0,2,2,3,3,0
0,19,0,1,0,3,3,4,2,0,2,1,2,2,0,1,1,1,1,1,1,4,3,5,15,0,0,1,1,2
0,18,0,1,0,2,3,4,2,1,1,1,4,0,0,1,1,1,1,1,1,4,5,2,4,4,4,4,4,3
0,18,0,0,0,1,1,4,4,0,0,2,2,0,0,1,1,0,0,1,0,4,4,3,2,0,0,3,0,3
1,17,1,1,0,1,2,3,3,0,0,1,2,0,0,1,1,1,0,1,0,3,5,1,2,2,2,1,0,1
0,17,0,1,0,2,4,3,1,1,0,2,2,0,0,1,1,0,1,1,1,4,3,1,2,3,3,0,2,1
0,17,0,0,0,2,2,2,4,2,0,2,2,0,1,1,1,0,1,1,1,4,4,5,6,3,3,2,3,0
0,18,1,1,1,3,2,4,2,0,0,2,2,0,0,0,0,0,0,0,1,4,1,5,75,1,1,2,1,1
1,18,0,1,0,4,4,0,2,0,0,2,1,0,0,0,1,1,1,1,1,3,2,3,22,1,1,4,4,2
0,18,0,1,0,4,4,1,1,1,1,1,2,1,1,1,0,1,1,1,1,2,4,4,15,0,0,1,3,1
1,18,0,0,0,4,3,0,2,2,0,2,1,0,0,0,1,1,1,1,1,4,2,1,8,1,1,1,1,2
1,17,0,0,1,4,1,2,4,0,0,2,1,0,0,0,1,1,1,1,1,4,5,5,30,2,2,3,0,2
1,17,0,0,1,3,2,0,2,0,0,1,1,1,0,0,0,0,1,1,1,4,4,3,19,1,1,1,2,3
0,18,1,0,0,1,1,3,4,1,0,2,4,0,0,1,1,1,1,1,0,5,2,3,1,2,2,4,2,3
0,18,0,1,0,1,1,4,4,0,0,2,2,0,1,0,0,1,1,1,1,5,4,4,4,3,3,0,4,1
0,17,0,1,0,2,2,4,4,2,0,1,2,0,0,1,0,0,0,1,1,5,4,5,4,1,1,0,1,1
1,17,0,1,0,1,1,4,4,1,1,1,2,0,0,0,1,0,0,1,1,4,3,4,2,3,3,2,0,0
0,18,0,1,0,2,2,3,3,3,0,1,3,0,0,1,1,0,1,1,1,4,3,2,5,1,1,3,0,1
0,17,0,1,0,1,1,2,0,1,0,1,3,0,0,1,1,0,1,1,1,4,3,3,6,4,4,1,4,2
1,18,0,1,0,2,1,2,2,1,0,1,3,0,0,0,1,1,1,1,1,4,2,2,6,0,0,4,3,1
1,18,0,0,1,4,4,0,0,1,0,1,2,0,0,1,1,1,1,1,1,5,4,2,9,0,0,3,3,2
1,18,0,1,0,4,2,0,4,0,0,1,2,0,0,1,1,1,1,1,1,4,3,5,11,2,2,1,1,3
0,17,0,1,0,4,3,1,2,1,0,1,3,0,0,1,1,0,1,1,1,4,2,3,0,3,3,0,2,1
0,18,0,0,0,2,1,2,3,1,0,1,2,1,0,0,0,0,1,1,1,5,4,5,12,1,1,2,0,3
0,17,1,0,0,3,1,2,4,1,0,2,4,0,0,1,1,0,1,1,0,3,1,3,6,4,4,2,4,1
1,18,1,0,0,3,2,2,4,1,0,2,3,0,0,1,1,1,1,1,1,5,4,4,8,3,3,4,0,4
1,17,0,1,0,3,3,1,4,0,0,1,1,0,0,1,1,0,1,1,1,4,4,5,4,1,1,1,2,0
0,19,0,1,0,4,4,1,4,1,2,2,2,0,0,1,1,1,1,1,1,2,3,2,0,0,0,0,3,0
0,18,0,0,0,4,3,4,4,0,2,2,2,0,0,1,1,0,1,1,1,4,4,2,10,2,2,0,3,2
0,18,0,1,0,4,3,4,4,1,1,1,4,0,0,1,1,0,1,1,1,4,3,3,0,2,2,4,1,3
1,18,0,0,0,4,4,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,4,1,5,4,4,3,1,1
0,18,0,0,1,4,4,1,4,0,0,1,2,0,0,1,0,0,1,1,1,4,2,4,14,1,1,3,0,4
1,17,0,0,0,4,4,4,0,0,1,2,1,0,0,0,1,0,1,1,1,4,1,5,0,0,0,1,1,3
0,17,0,1,0,4,2,4,4,1,0,2,3,0,0,1,1,0,1,1,1,4,3,3,0,0,0,2,2,1
0,17,0,1,0,3,2,1,1,1,1,1,4,0,0,1,1,1,0,1,1,5,2,5,0,4,4,0,1,0
1,19,0,1,0,3,3,4,4,0,2,1,2,1,0,1,0,1,1,1,1,4,4,3,20,3,3,4,2,2
0,18,0,1,0,2,4,2,3,1,2,1,2,1,0,1,1,1,1,1,1,4,4,3,8,3,3,0,3,2
1,20,0,1,1,3,2,2,4,2,2,1,1,0,0,0,0,1,1,1,0,5,5,5,0,1,1,2,1,4
1,19,0,1,0,4,4,0,2,1,2,2,1,1,0,1,1,0,1,1,1,4,3,4,38,2,2,3,3,1
1,19,1,1,0,3,3,4,2,1,1,1,2,1,0,0,0,1,1,1,0,4,5,5,0,0,0,3,1,0
0,19,0,0,0,1,1,3,4,1,2,1,2,1,1,1,0,1,0,1,1,4,4,3,18,4,4,1,4,0
0,19,0,0,0,1,2,2,2,0,2,1,2,1,0,0,0,1,0,1,0,4,2,3,0,0,0,1,0,4
0,19,0,1,0,2,1,3,4,3,2,3,2,0,0,1,0,0,1,0,1,3,4,2,20,2,2,0,0,3
1,19,0,1,0,1,2,4,2,2,2,1,2,1,0,0,0,0,0,1,1,4,5,4,3,3,3,1,2,3
0,19,0,0,0,3,2,2,4,1,2,2,2,1,0,1,1,0,0,1,1,4,2,1,22,3,3,2,3,1
0,19,0,1,0,1,1,3,1,0,2,1,3,2,0,0,0,0,0,1,1,4,1,3,14,1,1,1,1,2
0,19,1,1,0,2,3,4,4,1,2,1,3,1,0,0,0,0,1,1,1,4,1,3,40,1,1,2,4,0
0,18,0,1,0,2,1,2,4,2,0,2,2,0,0,1,1,1,1,1,1,5,3,1,0,0,0,3,3,4
0,18,0,1,0,4,3,4,4,2,0,1,3,0,0,1,1,1,1,1,1,4,3,5,9,1,1,1,1,0
0,17,1,1,0,3,4,3,2,2,1,1,3,0,0,1,1,1,0,1,1,4,3,5,0,2,2,3,0,2
0,18,0,1,0,4,4,0,4,2,0,1,2,0,0,1,1,0,1,1,1,4,4,5,2,1,1,1,2,3
0,17,0,1,1,4,3,2,2,2,0,1,2,0,0,1,1,0,1,1,1,5,2,5,23,2,2,4,2,3
0,17,0,1,0,2,2,4,4,2,0,1,2,0,0,1,0,0,1,1,0,4,2,3,12,3,3,0,4,1
0,17,1,0,0,2,2,2,2,2,0,1,3,0,0,1,1,1,1,1,1,3,3,3,3,1,1,0,1,1
0,17,0,1,0,3,1,2,2,2,1,1,3,0,0,1,0,0,0,1,1,3,4,5,1,3,3,2,0,0
0,17,0,0,0,0,2,3,3,0,1,2,3,0,0,0,0,0,1,1,1,3,3,2,0,1,1,3,0,1
1,18,0,1,0,4,4,4,4,2,0,1,3,0,0,0,0,1,1,1,1,4,3,3,3,4,4,1,4,2
1,17,0,1,0,3,3,4,2,1,0,1,1,0,0,0,0,1,0,1,1,4,3,5,3,0,0,4,3,1
1,17,1,1,0,2,2,2,4,2,0,4,1,0,0,1,0,0,1,1,1,4,4,4,8,0,0,3,3,2
0,17,0,1,0,4,4,0,2,2,0,1,3,0,0,1,1,1,1,1,1,5,4,4,7,2,2,1,1,3
0,17,0,1,0,4,4,0,0,2,0,2,3,0,0,1,1,0,0,1,1,4,3,4,4,3,3,0,2,1
1,18,0,0,0,2,2,4,4,2,0,1,4,0,0,1,0,1,1,1,1,4,5,5,2,1,1,2,0,3
0,17,1,1,0,2,4,3,4,2,1,1,3,0,0,1,0,0,1,1,1,4,4,5,7,4,4,2,4,1
0,18,0,1,0,3,3,2,2,0,0,1,2,0,0,0,0,1,1,1,1,5,3,4,0,3,3,4,0,4
0,18,0,0,0,2,2,4,4,0,2,1,2,0,0,0,0,1,0,1,1,4,3,2,0,1,1,1,2,0
0,18,1,1,0,2,2,3,4,2,0,2,4,0,0,0,0,1,1,1,0,4,4,4,0,0,0,0,3,0
0,17,0,1,0,3,4,2,4,2,0,1,3,0,0,0,0,0,1,1,1,4,4,5,16,2,2,0,3,2
0,19,1,1,1,3,1,2,3,0,2,1,3,1,0,0,1,0,1,1,0,5,4,5,12,2,2,4,1,3
0,17,0,1,0,3,2,4,4,0,0,1,2,0,0,1,1,0,1,1,1,4,3,2,0,4,4,3,1,1
0,18,0,0,0,3,3,2,2,0,0,1,4,0,0,1,0,0,1,1,1,5,3,1,7,1,1,3,0,4
0,17,1,1,1,3,2,4,4,0,0,1,2,0,0,1,1,0,1,1,1,4,3,2,4,0,0,1,1,3
0,19,0,1,0,2,1,2,2,0,2,1,3,1,0,0,1,1,1,1,1,4,3,3,4,0,0,2,2,1
1,18,0,1,0,4,4,0,2,0,1,1,2,1,0,1,0,1,1,1,1,4,3,2,0,4,4,0,1,0
1,18,0,0,0,3,4,2,4,0,0,1,2,0,0,0,0,1,1,1,1,4,3,5,11,3,3,4,2,2
0,17,0,1,1,2,2,3,3,0,1,1,2,1,0,1,0,0,1,1,1,3,3,4,0,3,3,0,3,2
0,18,0,1,0,2,3,3,4,2,0,1,3,0,0,1,0,0,1,1,1,4,3,3,4,1,1,2,1,4
0,18,0,1,0,3,2,4,2,3,0,1,3,0,0,0,0,0,1,1,1,5,4,1,7,2,2,3,3,1
1,18,1,1,0,4,3,0,2,2,0,1,3,0,0,0,0,0,1,1,1,5,3,4,9,0,0,3,1,3
1,18,0,1,0,4,3,0,4,2,0,1,3,0,0,1,1,0,1,1,1,5,4,5,0,4,4,1,4,1
0,17,0,1,0,4,3,1,4,1,0,1,3,0,0,1,1,1,1,1,1,4,4,4,0,0,0,1,0,4
1,18,1,1,0,3,2,4,4,2,0,2,1,1,0,1,0,0,0,1,1,2,5,5,10,2,2,0,0,0
1,19,1,1,0,1,1,4,2,0,2,3,2,3,0,0,0,0,1,1,1,5,4,2,8,3,3,1,2,0
1,17,0,1,0,3,3,1,4,2,0,2,2,0,0,1,1,0,1,1,1,4,5,3,2,3,3,2,3,2
1,18,0,0,0,1,3,3,2,2,0,1,1,1,0,0,0,0,1,0,1,4,3,3,7,1,1,1,1,3
1,19,1,1,0,1,1,4,4,0,2,3,1,1,0,1,0,0,1,1,1,4,4,5,4,1,1,2,4,1
1,17,1,1,0,4,3,2,4,0,0,2,2,0,0,1,1,1,0,1,1,4,5,2,4,0,0,3,3,4
0,18,0,1,0,3,3,2,2,2,1,1,2,0,0,1,0,0,1,1,0,5,3,5,0,1,1,1,1,3
0,17,1,1,0,4,4,0,2,3,1,2,2,0,0,1,1,1,1,1,1,4,3,5,4,2,2,3,1,1
0,17,0,0,1,3,2,2,4,1,0,2,2,0,0,0,0,0,1,1,0,1,2,5,2,1,1,1,1,0
1,18,0,0,0,1,1,4,2,0,1,2,1,0,0,0,0,0,0,1,1,3,3,3,4,2,2,4,3,2
0,18,0,0,0,1,1,3,2,2,1,2,3,0,0,0,0,0,1,1,1,5,3,4,0,3,3,0,1,2
0,18,1,0,1,1,4,3,4,2,0,3,2,0,0,0,0,0,1,1,0,4,3,5,0,1,1,0,4,4
1,18,1,0,0,1,1,3,4,3,0,2,2,1,0,0,0,1,0,0,0,4,4,5,2,3,3,2,0,1
0,18,0,1,0,3,3,2,2,3,0,2,2,0,0,1,0,0,1,1,1,4,3,3,0,1,1,3,0,0
0,17,0,0,0,4,4,3,3,2,0,1,2,0,0,1,1,1,1,1,1,2,3,1,0,4,4,1,2,0
0,17,1,1,0,1,2,4,2,2,1,2,2,0,0,0,0,0,0,1,0,3,2,3,0,0,0,4,3,4
1,18,1,1,0,1,3,3,4,2,0,2,2,0,0,1,1,0,1,1,0,3,3,3,4,0,0,3,1,3
1,18,0,0,0,4,4,0,2,3,0,2,3,0,0,0,1,0,1,1,1,4,2,5,0,2,2,1,4,3
0,17,1,1,0,1,1,4,2,1,0,3,1,1,0,1,1,0,1,1,1,5,2,1,0,3,3,0,3,1
0,18,0,1,0,2,3,3,2,2,1,2,1,0,0,1,1,0,1,1,1,5,2,4,0,1,1,2,1,2
0,18,1,1,0,4,4,4,0,3,1,3,2,0,0,1,1,0,0,1,1,3,2,5,10,4,4,2,0,0
0,19,0,0,0,3,2,2,2,0,2,2,2,2,0,0,0,1,1,1,0,3,2,3,4,3,3,4,2,4
1,18,1,0,0,1,2,3,2,3,1,3,1,0,0,1,1,1,1,0,1,4,3,3,3,1,1,1,2,0
0,17,0,1,0,2,2,4,3,0,0,1,3,0,0,0,0,1,1,1,0,3,4,3,8,0,0,1,4,2
0,17,1,1,0,1,2,4,4,2,0,1,1,0,0,0,0,1,1,1,1,3,5,1,14,2,2,3,1,3
0,18,1,0,0,4,4,4,4,1,0,2,3,0,0,0,0,0,1,1,1,5,4,1,0,2,2,1,0,3
0,18,1,1,0,1,1,4,4,0,0,4,3,0,0,0,0,0,1,1,1,4,3,4,2,4,4,4,0,1
0,20,0,1,0,4,2,1,4,2,2,2,3,2,0,1,1,0,0,1,1,5,4,3,4,1,1,0,4,1
0,18,1,0,0,4,4,0,2,2,0,1,2,0,0,0,1,1,1,1,1,5,4,2,4,0,0,0,3,0
0,18,0,1,0,3,3,4,4,0,0,1,2,0,0,0,1,0,1,1,1,4,1,1,0,0,0,2,3,1
0,17,1,1,0,3,1,3,4,1,0,1,2,0,0,1,1,1,0,1,1,4,5,1,17,4,4,3,1,2
1,18,0,1,0,4,4,0,0,0,1,1,2,0,0,0,1,1,0,1,1,3,2,2,4,3,3,1,2,1
1,18,1,1,0,2,1,4,4,3,0,2,1,0,0,0,0,1,0,1,1,4,4,5,5,3,3,4,0,2
1,17,0,1,0,2,3,4,2,0,1,2,2,0,0,0,0,1,1,1,1,4,4,3,2,1,1,3,4,3
1,19,1,1,0,1,1,4,2,3,0,2,1,1,0,0,0,0,1,1,0,4,3,5,0,2,2,1,0,1
1,18,1,1,0,4,2,4,4,0,1,2,1,1,0,0,1,0,1,1,0,5,4,3,14,0,0,0,2,3
0,18,1,1,0,2,2,3,4,3,0,2,3,0,0,0,1,0,1,1,0,5,3,4,2,4,4,2,3,1
0,18,1,1,0,4,4,0,3,1,0,3,1,0,0,1,1,1,1,1,1,4,4,5,7,0,0,2,3,4
0,19,1,1,0,2,3,2,4,2,0,1,3,1,0,0,0,1,0,1,1,5,4,5,0,2,2,4,1,0
0,18,0,0,0,3,1,0,2,2,0,1,2,0,0,1,1,0,1,1,1,4,3,1,0,3,3,1,1,0
0,18,0,1,0,1,1,4,4,2,0,2,2,1,0,0,0,1,1,1,0,1,1,5,0,3,3,0,0,2
1,20,0,0,1,2,2,2,2,2,2,1,2,2,0,1,1,0,1,1,0,5,5,4,11,1,1,0,1,3
1,17,0,0,0,3,1,2,2,2,0,2,1,0,0,0,0,0,0,1,1,2,4,2,3,1,1,4,2,1
1,21,1,1,0,1,1,4,4,2,2,1,1,3,0,0,0,0,0,1,0,5,5,3,3,0,0,3,1,4
1,18,1,0,0,3,2,2,4,2,0,3,1,0,0,0,0,0,0,1,1,4,4,5,0,1,1,3,2,3
1,19,0,0,0,1,1,4,3,2,1,1,1,0,0,0,0,0,1,1,1,3,2,5,5,2,2,1,3,1
